student_id,roll_no,student_name,subject_id,subject_name,class_name,week_number,attendance_status,attendance_rate_this_week,cumulative_attendance_rate,assignment_submitted,assignment_score,assignment_submission_rate,quiz_score,cumulative_avg_score,score_trend,risk_label,risk_level
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,1,present,1.0,1.0,1,69.9,1.0,70.1,70.1,0.0,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,2,present,1.0,1.0,1,74.1,1.0,63.6,66.85,-6.5,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,3,present,1.0,1.0,1,64.8,1.0,48.4,60.7,-15.2,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,4,present,1.0,1.0,1,73.7,1.0,64.8,61.72,16.4,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,5,present,1.0,1.0,1,63.5,1.0,63.3,62.04,-1.5,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,6,present,1.0,1.0,1,71.6,1.0,68.9,63.18,5.6,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,7,present,1.0,1.0,1,64.9,1.0,63.5,63.23,-5.4,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,8,present,1.0,1.0,1,73.7,1.0,60.3,62.86,-3.2,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,9,present,1.0,1.0,1,67.0,1.0,66.3,63.24,6.0,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,10,present,1.0,1.0,1,70.3,1.0,88.8,65.8,22.5,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,11,present,1.0,1.0,0,0.0,0.909,77.0,66.82,-11.8,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,12,present,1.0,1.0,0,0.0,0.833,69.6,67.05,-7.4,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,13,absent,0.0,0.923,1,73.3,0.846,67.1,67.05,-2.5,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,14,present,1.0,0.929,1,66.2,0.857,64.5,66.87,-2.6,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,15,present,1.0,0.933,1,74.3,0.867,70.4,67.11,5.9,0,Low
1,23CS001,Rahul Reddy,CS101,Data Structures & Algorithms,CSE-A,16,present,1.0,0.938,0,0.0,0.812,65.1,66.98,-5.3,0,Low
1,23CS001,Rahul Reddy,CS102,Database Management Systems,CSE-A,1,present,1.0,1.0,1,74.2,1.0,75.0,75.0,0.0,0,Low
1,23CS001,Rahul Reddy,CS102,Database Management Systems,CSE-A,2,present,1.0,1.0,1,63.0,1.0,65.7,70.35,-9.3,0,Low
1,23CS001,Rahul Reddy,CS102,Database Management Systems,CSE-A,3,absent,0.0,0.667,1,65.1,1.0,66.6,69.1,0.9,0,Low
1,23CS001,Rahul Reddy,CS102,Database Management Systems,CSE-A,4,present,1.0,0.75,1,73.0,1.0,70.2,69.38,3.6,0,Low
1,23CS001,Rahul Reddy,CS102,Database Management Systems,CSE-A,5,present,1.0,0.8,1,73.8,1.0,74.0,70.3,3.8,0,Low
1,23CS001,Rahul Reddy,CS102,Database Management Systems,CSE-A,6,present,1.0,0.833,1,88.2,1.0,61.1,68.77,-12.9,0,Low
